BOM Revision:,,V1 Prototype,,,,Last Updated:,,"July 28, 2026",,,,
Item,,Quantity Required,,Quantity Stocked,,Supplier,,Datasheet,,Unit Cost,,Cost Per Board
PCB Manufacturing:,,5,,0,,,,,,$93.31,,$145.12
PCB Shipping:,,1,,N/A,,,,,,$59.05,,
Raspberry Pi Pico,,1,,1,,Pi Pico Purchase,,Pi Pico,,$4.00,,
22uF Capacitor,,6,,8,,22uF Cap Purchase Link,,22uF Cap Datasheet,,$0.95,,
1nF Capacitor,,1,,10,,1nF Cap Purchase Link,,1nF Cap Datasheet,,$0.17,,
10uF Capacitor,,2,,10,,10uF Cap Purchase Link,,10uF Cap Datasheet,,$0.43,,
1uF Capacitor,,1,,0,,1uF Cap Purchase Link,,1uF Cap Datasheet,,$0.35,,
5.6V Zener Diode,,1,,10,,5.6V Zener Diode Purchase Link,,Zener Datasheet,,$0.56,,
Polyfuse,,8,,0,,Polyfuse 2 Amp Hold Link,,Polyfuse Datasheet,,$0.60,,
USB-C Receptacle,,1,,2,,USB-C Purchase Link,,USB-C  Port Datasheet,,$0.61,,
Cell Holders,,8,,8,,Cell Holder Link,,Cell Holder Datasheet,,$5.99,,
SDD1306 Oled,,1,,3,,SSD1306 5 Pack Purchase Link,,SSD1306 Oled Datasheet,,$14.98,,
4 Pin Header Connector,,1,,15,,Pin Header Purchase Link,,Pin Header Datasheet,,$0.69,,
1UH Inductor,,1,,0,,1UH Inductor Purchase Link,,1UH Inductor Datasheet,,$1.97,,
PMOS Gate,,2,,10,,PMOS Purchase Link,,PMOS Datasheet,,$0.50,,
BJT Gate,,1,,10,,BJT Purchase Link,,BJT Datasheet,,$0.16,,
47k Resistor,,1,,2,,47k Resistor Purchase Link,,47k Resistor Datasheet,,$0.27,,
100k Resistor,,2,,2,,100k Resistor Purchase Link,,100k Resistor Datasheet,,$0.10,,
100k NTC THERM Resistor,,1,,2,,100k NTC THERM Resistor Purchase Link,,100k NTC THERM Datasheet,,$0.51,,
1k Resistor,,1,,25,,1k Resistor Purchase Link,,1k Resistor Datasheet,,$0.10,,
0 ohm Resistor,,1,,2,,0 ohm Resistor Purchase Link,,0 ohm Resistor Datsheet,,$0.10,,
82k Resistor,,1,,2,,82k Resistor Purchase Link,,82k Resistor Datasheet,,$0.10,,
10k Resistor,,3,,25,,10k Resistor Purchase Link,,10k Resistor Datasheet,,$0.10,,
2 ohm Resistor,,1,,2,,2 ohm Resistor Purchase Link,,2 ohm Resistor Datasheet,,$0.10,,
Button (TL6340AF160Q),,1,,0,,TL6340AF160Q Purchase Link,,Button Datasheet,,$0.45,,
PMIC (IP5310),,1,,5,,IP5310 Purchase Link,,IP5310 Datasheet,,$0.71,,
18650’s (LG MJ1),,8,,0,,18650 Purchase Link,,,,$5.00,,
